,0,1,2,3,4
0,1,52.44941210746765,91.97,1,sigmoid
1,2,65.88331699371338,93.72,1,sigmoid
2,3,66.97372102737427,94.51,1,sigmoid
3,4,66.58988904953003,95.22,1,sigmoid
4,5,65.08465600013733,95.76,1,sigmoid
5,6,63.65224027633667,96.05,1,sigmoid
6,7,62.506062030792236,96.36,1,sigmoid
7,8,61.04309701919556,96.50999999999999,1,sigmoid
8,9,60.281665086746216,96.69,1,sigmoid
9,10,60.021738052368164,96.84,1,sigmoid
10,1,61.165635108947754,96.22,1,tanh
11,2,61.01895022392273,96.45,1,tanh
12,3,61.11726999282837,96.74000000000001,1,tanh
13,4,61.172242879867554,96.65,1,tanh
14,5,60.84273719787598,96.76,1,tanh
15,6,61.41146802902222,96.89999999999999,1,tanh
16,7,60.993743896484375,96.87,1,tanh
17,8,61.21173572540283,97.07000000000001,1,tanh
18,9,61.16398000717163,96.95,1,tanh
19,10,56.388349771499634,96.96000000000001,1,tanh
20,1,48.08267784118652,9.81,1,relu
21,2,48.235389947891235,9.81,1,relu
22,3,48.188912868499756,9.81,1,relu
23,4,47.78394603729248,9.81,1,relu
24,5,47.83291006088257,9.81,1,relu
25,6,47.66781687736511,9.81,1,relu
26,7,47.66462206840515,9.81,1,relu
27,8,47.87034773826599,9.81,1,relu
28,9,47.59230589866638,9.81,1,relu
29,10,47.70711708068848,9.81,1,relu
30,1,45.98104500770569,85.50999999999999,0.1,sigmoid
31,2,46.29104018211365,87.89,0.1,sigmoid
32,3,46.030498027801514,90.03,0.1,sigmoid
33,4,46.05476403236389,91.34,0.1,sigmoid
34,5,46.025455713272095,92.02,0.1,sigmoid
35,6,46.093868017196655,92.65,0.1,sigmoid
36,7,46.07839107513428,93.14,0.1,sigmoid
37,8,45.817939043045044,93.54,0.1,sigmoid
38,9,45.97680997848511,93.92,0.1,sigmoid
39,10,45.958966970443726,94.1,0.1,sigmoid
40,1,48.05624294281006,93.04,0.1,tanh
41,2,46.97531986236572,93.89,0.1,tanh
42,3,47.080132722854614,94.43,0.1,tanh
43,4,47.05615997314453,94.92,0.1,tanh
44,5,47.03705191612244,95.19999999999999,0.1,tanh
45,6,47.36459183692932,95.38,0.1,tanh
46,7,56.01103401184082,95.61,0.1,tanh
47,8,55.518869161605835,95.73,0.1,tanh
48,9,55.8177809715271,95.88,0.1,tanh
49,10,55.683074951171875,95.94,0.1,tanh
50,1,52.946353912353516,84.17999999999999,0.1,relu
51,2,52.99947500228882,85.69,0.1,relu
52,3,52.84022283554077,86.22999999999999,0.1,relu
53,4,53.0272319316864,86.63,0.1,relu
54,5,52.75878024101257,86.83,0.1,relu
55,6,52.84312391281128,87.0,0.1,relu
56,7,52.788397789001465,87.12,0.1,relu
57,8,53.18381905555725,87.22999999999999,0.1,relu
58,9,52.833577156066895,87.32,0.1,relu
59,10,52.99412822723389,87.42,0.1,relu
60,1,53.35478711128235,70.28,0.01,sigmoid
61,2,52.95702791213989,79.24,0.01,sigmoid
62,3,53.28390669822693,82.05,0.01,sigmoid
63,4,53.12849712371826,83.63000000000001,0.01,sigmoid
64,5,53.17988300323486,84.55,0.01,sigmoid
65,6,53.08282494544983,85.18,0.01,sigmoid
66,7,53.10228085517883,85.68,0.01,sigmoid
67,8,53.155818939208984,86.22999999999999,0.01,sigmoid
68,9,53.729825019836426,86.59,0.01,sigmoid
69,10,45.26297187805176,86.79,0.01,sigmoid
70,1,46.16266083717346,85.76,0.01,tanh
71,2,45.81148290634155,87.98,0.01,tanh
72,3,46.34511876106262,89.18,0.01,tanh
73,4,45.753782987594604,89.94,0.01,tanh
74,5,45.679832220077515,90.49000000000001,0.01,tanh
75,6,46.03164315223694,91.01,0.01,tanh
76,7,45.746671199798584,91.52,0.01,tanh
77,8,45.82552409172058,91.83,0.01,tanh
78,9,45.870399951934814,92.02,0.01,tanh
79,10,45.903122901916504,92.33,0.01,tanh
80,1,43.337968826293945,86.35000000000001,0.01,relu
81,2,43.471214294433594,88.56,0.01,relu
82,3,43.370067834854126,89.32,0.01,relu
83,4,43.302111864089966,89.77000000000001,0.01,relu
84,5,43.26331806182861,90.10000000000001,0.01,relu
85,6,43.52789521217346,90.56,0.01,relu
86,7,43.23265194892883,90.91,0.01,relu
87,8,43.229230880737305,91.17,0.01,relu
88,9,43.449891805648804,91.46,0.01,relu
89,10,43.45090317726135,91.66,0.01,relu
90,1,44.310834884643555,23.86,0.001,sigmoid
91,2,44.01899790763855,40.949999999999996,0.001,sigmoid
92,3,44.17943501472473,50.64999999999999,0.001,sigmoid
93,4,44.223942041397095,56.84,0.001,sigmoid
94,5,44.06596922874451,61.0,0.001,sigmoid
95,6,44.15341401100159,64.64,0.001,sigmoid
96,7,44.14029908180237,67.07,0.001,sigmoid
97,8,44.41605591773987,68.78,0.001,sigmoid
98,9,44.15454578399658,70.55,0.001,sigmoid
99,10,44.48060083389282,71.85000000000001,0.001,sigmoid
100,1,45.243305921554565,55.96,0.001,tanh
101,2,45.246800899505615,66.73,0.001,tanh
102,3,45.408600091934204,71.86,0.001,tanh
103,4,45.20287489891052,75.14,0.001,tanh
104,5,45.139524936676025,77.37,0.001,tanh
105,6,45.12190389633179,78.84,0.001,tanh
106,7,45.272849798202515,80.07,0.001,tanh
107,8,44.947232723236084,81.27,0.001,tanh
108,9,45.0795841217041,82.14,0.001,tanh
109,10,45.249008893966675,82.87,0.001,tanh
110,1,42.57996082305908,60.38,0.001,relu
111,2,42.66023278236389,68.8,0.001,relu
112,3,42.760042905807495,73.39,0.001,relu
113,4,42.71671986579895,76.79,0.001,relu
114,5,42.611721992492676,78.95,0.001,relu
115,6,42.649173974990845,80.77,0.001,relu
116,7,42.81135892868042,82.03,0.001,relu
117,8,42.87976408004761,82.82000000000001,0.001,relu
118,9,42.57347273826599,83.48,0.001,relu
119,10,42.73737907409668,84.15,0.001,relu
